vendor_category,department_name,reporting_month,total_shipments,total_gross_sales,avg_delay_days,late_delivery_rate,rolling_3_month_sales_avg,risk_rank_within_department
Indoor/Outdoor Games,Fan Shop,1/3/201,63,8646.54,0.97,65.08,8696.52,34
Indoor/Outdoor Games,Fan Shop,11/2/20,38,5247.9,0.97,65.79,4731.44,34
Water Sports,Fan Shop,1/12/20,37,7399.63,0.97,70.27,8199.59,34
Water Sports,Fan Shop,3/4/201,39,7799.61,0.97,74.36,9399.53,34
Water Sports,Fan Shop,4/25/20,32,6399.68,0.97,65.63,8532.91,34
Fishing,Fan Shop,6/16/20,56,22398.88,0.96,64.29,21598.92,35
Fishing,Fan Shop,6/7/201,46,18399.08,0.96,73.91,19732.35,35
Indoor/Outdoor Games,Fan Shop,1/15/20,57,7546.98,0.96,59.65,8613.22,35
Indoor/Outdoor Games,Fan Shop,10/12/2,28,4548.18,0.96,75.0,6164.2,35
Indoor/Outdoor Games,Fan Shop,6/24/20,47,6097.56,0.96,63.83,7213.78,35
Water Sports,Fan Shop,10/4/20,26,5199.74,0.96,69.23,6533.01,35
Water Sports,Fan Shop,12/7/20,26,5199.74,0.96,61.54,6133.03,35
Water Sports,Fan Shop,2/10/20,54,10799.46,0.96,59.26,8532.91,35
Camping & Hiking,Fan Shop,11/27/2,22,6599.56,0.95,72.73,8299.45,36
Camping & Hiking,Fan Shop,6/9/201,37,11099.26,0.95,59.46,14099.06,36
Fishing,Fan Shop,11/13/2,41,16399.18,0.95,63.41,14532.61,36
Fishing,Fan Shop,11/3/20,44,17599.12,0.95,68.18,15065.91,36
Fishing,Fan Shop,2/18/20,61,24398.78,0.95,77.05,22932.19,36
Fishing,Fan Shop,9/1/201,54,21598.92,0.94,74.07,19732.35,37
Indoor/Outdoor Games,Fan Shop,1/30/20,69,9696.12,0.94,66.67,9063.04,37
Indoor/Outdoor Games,Fan Shop,3/8/201,49,7946.82,0.94,69.39,9163.0,37
Toys,Fan Shop,12/6/20,68,784.72,0.94,70.59,565.46,37
Water Sports,Fan Shop,12/27/2,32,6399.68,0.94,71.88,6066.36,37
Water Sports,Fan Shop,2/11/20,33,6599.67,0.94,60.61,9799.51,37
Water Sports,Fan Shop,8/29/20,49,9799.51,0.94,61.22,9266.2,37
Camping & Hiking,Fan Shop,7/17/20,46,13799.08,0.93,65.22,11999.2,38
Indoor/Outdoor Games,Fan Shop,7/13/20,56,8146.74,0.93,69.64,8829.8,38
Indoor/Outdoor Games,Fan Shop,8/1/201,58,8146.74,0.93,67.24,8579.9,38
Indoor/Outdoor Games,Fan Shop,8/17/20,56,8696.52,0.93,67.86,7580.3,38
Water Sports,Fan Shop,9/9/201,46,9199.54,0.93,67.39,9399.53,38
Camping & Hiking,Fan Shop,2/27/20,51,15298.98,0.92,64.71,13399.11,39
Camping & Hiking,Fan Shop,6/7/201,49,14699.02,0.92,69.39,11899.21,39
Fishing,Fan Shop,1/14/20,48,19199.04,0.92,68.75,21598.92,39
Fishing,Fan Shop,3/4/201,50,19999.0,0.92,74.0,18665.73,39
Indoor/Outdoor Games,Fan Shop,1/24/20,62,9146.34,0.92,70.97,8713.18,39
Indoor/Outdoor Games,Fan Shop,1/31/20,62,8446.62,0.92,62.9,8929.76,39
Indoor/Outdoor Games,Fan Shop,5/20/20,49,7447.02,0.92,71.43,8263.36,39
Indoor/Outdoor Games,Fan Shop,6/8/201,49,7996.8,0.92,71.43,8013.46,39
Indoor/Outdoor Games,Fan Shop,9/18/20,78,11845.26,0.92,67.95,10229.24,39
Water Sports,Fan Shop,11/6/20,38,7599.62,0.92,63.16,7199.64,39
Water Sports,Fan Shop,3/19/20,38,7599.62,0.92,65.79,9332.87,39
Camping & Hiking,Fan Shop,1/16/20,32,9599.36,0.91,62.5,11299.25,40
Camping & Hiking,Fan Shop,12/24/2,22,6599.56,0.91,68.18,7799.48,40
Camping & Hiking,Fan Shop,12/27/2,32,9599.36,0.91,71.88,7799.48,40
Camping & Hiking,Fan Shop,7/19/20,44,13199.12,0.91,63.64,13599.09,40
Fishing,Fan Shop,5/3/201,44,17599.12,0.91,65.91,17732.45,40
Fishing,Fan Shop,7/23/20,45,17999.1,0.91,66.67,18399.08,40
Indoor/Outdoor Games,Fan Shop,1/14/20,56,9096.36,0.91,60.71,9712.78,40
Indoor/Outdoor Games,Fan Shop,11/26/2,43,6397.44,0.91,65.12,6047.58,40
Indoor/Outdoor Games,Fan Shop,4/23/20,56,8546.58,0.91,66.07,8296.68,40
Indoor/Outdoor Games,Fan Shop,6/23/20,55,8546.58,0.91,65.45,8096.76,40
Water Sports,Fan Shop,1/21/20,44,8799.56,0.91,75.0,8999.55,40
Fishing,Fan Shop,11/22/2,31,12399.38,0.9,64.52,16399.18,41
Fishing,Fan Shop,12/23/2,29,11599.42,0.9,62.07,13332.67,41
Fishing,Fan Shop,4/12/20,58,23198.84,0.9,65.52,21732.25,41
Fishing,Fan Shop,8/7/201,49,19599.02,0.9,71.43,19999.0,41
Fishing,Fan Shop,9/17/20,59,23598.82,0.9,62.71,21998.9,41
Fishing,Fan Shop,9/18/20,59,23598.82,0.9,69.49,23598.82,41
Fishing,Fan Shop,9/6/201,50,19999.0,0.9,64.0,22132.23,41
Indoor/Outdoor Games,Fan Shop,3/24/20,58,7996.8,0.9,67.24,8429.96,41
Indoor/Outdoor Games,Fan Shop,6/17/20,62,9296.28,0.9,67.74,7796.88,41
Indoor/Outdoor Games,Fan Shop,9/21/20,51,7796.88,0.9,64.71,9346.26,41
Water Sports,Fan Shop,10/20/2,30,5999.7,0.9,66.67,6666.33,41
Water Sports,Fan Shop,5/22/20,50,9999.5,0.9,70.0,9332.87,41
Camping & Hiking,Fan Shop,11/20/2,28,8399.44,0.89,64.29,8299.45,42
Camping & Hiking,Fan Shop,5/7/201,37,11099.26,0.89,70.27,13099.13,42
Camping & Hiking,Fan Shop,9/5/201,46,13799.08,0.89,65.22,11799.21,42
Fishing,Fan Shop,10/31/2,44,17599.12,0.89,63.64,14799.26,42
Fishing,Fan Shop,11/11/2,36,14399.28,0.89,75.0,12532.71,42
Fishing,Fan Shop,3/6/201,46,18399.08,0.89,65.22,20132.33,42
Fishing,Fan Shop,4/3/201,53,21198.94,0.89,62.26,21998.9,42
Fishing,Fan Shop,9/24/20,56,22398.88,0.89,67.86,20398.98,42
Indoor/Outdoor Games,Fan Shop,9/16/20,71,10395.84,0.89,71.83,10212.58,42
Indoor/Outdoor Games,Fan Shop,9/17/20,54,8446.62,0.89,66.67,9546.18,42
Water Sports,Fan Shop,8/6/201,57,11399.43,0.89,71.93,10266.15,42
Camping & Hiking,Fan Shop,3/4/201,52,15598.96,0.88,67.31,14399.04,43
Camping & Hiking,Fan Shop,4/27/20,43,12899.14,0.88,69.77,11899.21,43
Indoor/Outdoor Games,Fan Shop,11/23/2,41,6647.34,0.88,65.85,6030.92,43
Indoor/Outdoor Games,Fan Shop,12/17/2,33,5847.66,0.88,69.7,6580.7,43
Indoor/Outdoor Games,Fan Shop,12/25/2,48,7846.86,0.88,62.5,7613.62,43
Indoor/Outdoor Games,Fan Shop,4/10/20,58,8046.78,0.88,70.69,8413.3,43
Indoor/Outdoor Games,Fan Shop,4/7/201,57,8246.7,0.88,66.67,8163.4,43
Indoor/Outdoor Games,Fan Shop,7/10/20,58,7946.82,0.88,67.24,7946.82,43
Water Sports,Fan Shop,10/10/2,34,6799.66,0.88,64.71,7999.6,43
Water Sports,Fan Shop,7/30/20,42,8399.58,0.88,71.43,7999.6,43
Camping & Hiking,Fan Shop,11/15/2,31,9299.38,0.87,64.52,8199.45,44
Fishing,Fan Shop,10/6/20,23,9199.54,0.87,69.57,11599.42,44
Fishing,Fan Shop,12/12/2,31,12399.38,0.87,58.06,12532.71,44
Fishing,Fan Shop,4/23/20,52,20798.96,0.87,69.23,20265.65,44
Fishing,Fan Shop,4/4/201,63,25198.74,0.87,65.08,21598.92,44
Fishing,Fan Shop,6/1/201,61,24398.78,0.87,63.93,21598.92,44
Fishing,Fan Shop,7/1/201,52,20798.96,0.87,63.46,21598.92,44
Indoor/Outdoor Games,Fan Shop,11/4/20,46,7147.14,0.87,69.57,6097.56,44
Indoor/Outdoor Games,Fan Shop,3/26/20,53,8046.78,0.87,64.15,8063.44,44
Indoor/Outdoor Games,Fan Shop,8/4/201,69,10745.7,0.87,60.87,9113.02,44
Water Sports,Fan Shop,3/6/201,53,10599.47,0.87,67.92,9132.88,44
Water Sports,Fan Shop,6/12/20,38,7599.62,0.87,57.89,8532.91,44
Camping & Hiking,Fan Shop,11/14/2,22,6599.56,0.86,59.09,8099.46,45
Camping & Hiking,Fan Shop,2/4/201,42,12599.16,0.86,59.52,10499.3,45
Camping & Hiking,Fan Shop,5/17/20,35,10499.3,0.86,60.0,12299.18,45
Fishing,Fan Shop,5/2/201,51,20398.98,0.86,70.59,21598.92,45
Fishing,Fan Shop,9/30/20,59,23598.82,0.86,66.1,22532.21,45
Indoor/Outdoor Games,Fan Shop,1/13/20,59,9196.32,0.86,62.71,9929.36,45
Indoor/Outdoor Games,Fan Shop,1/23/20,65,9146.34,0.86,63.08,8696.52,45
Indoor/Outdoor Games,Fan Shop,3/11/20,65,9296.28,0.86,63.08,8346.66,45
Indoor/Outdoor Games,Fan Shop,9/29/20,44,6047.58,0.86,65.91,7830.2,45
Indoor/Outdoor Games,Fan Shop,9/30/20,66,10645.74,0.86,62.12,8713.18,45
Water Sports,Fan Shop,7/15/20,35,6999.65,0.86,68.57,7666.28,45
Water Sports,Fan Shop,8/19/20,42,8399.58,0.86,57.14,9266.2,45
Camping & Hiking,Fan Shop,1/17/20,47,14099.06,0.85,57.45,12099.19,46
Camping & Hiking,Fan Shop,3/30/20,52,15598.96,0.85,67.31,14199.05,46
Camping & Hiking,Fan Shop,6/4/201,41,12299.18,0.85,60.98,12999.13,46
Fishing,Fan Shop,11/5/20,26,10399.48,0.85,65.38,13999.3,46
Indoor/Outdoor Games,Fan Shop,12/11/2,40,6847.26,0.85,65.0,5831.0,46
Water Sports,Fan Shop,1/19/20,34,6799.66,0.85,58.82,7399.63,46
Water Sports,Fan Shop,1/2/201,39,7799.61,0.85,61.54,7532.96,46
Water Sports,Fan Shop,12/23/2,27,5399.73,0.85,59.26,6133.03,46
Water Sports,Fan Shop,2/9/201,48,9599.52,0.85,60.42,10332.82,46
Water Sports,Fan Shop,3/24/20,46,9199.54,0.85,71.74,8066.26,46
Water Sports,Fan Shop,4/16/20,55,10999.45,0.85,67.27,9866.17,46
Camping & Hiking,Fan Shop,4/15/20,44,13199.12,0.84,63.64,11899.21,47
Camping & Hiking,Fan Shop,4/23/20,43,12899.14,0.84,65.12,12099.19,47
Camping & Hiking,Fan Shop,4/8/201,32,9599.36,0.84,62.5,13099.13,47
Camping & Hiking,Fan Shop,5/10/20,32,9599.36,0.84,68.75,12099.19,47
Camping & Hiking,Fan Shop,5/24/20,37,11099.26,0.84,59.46,11399.24,47
Camping & Hiking,Fan Shop,8/31/20,44,13199.12,0.84,63.64,13599.09,47
Fishing,Fan Shop,10/2/20,25,9999.5,0.84,72.0,11866.07,47
Fishing,Fan Shop,11/24/2,32,12799.36,0.84,59.38,12799.36,47
Fishing,Fan Shop,12/16/2,32,12799.36,0.84,59.38,12932.69,47
Indoor/Outdoor Games,Fan Shop,1/26/20,75,11245.5,0.84,58.67,9846.06,47
Water Sports,Fan Shop,4/4/201,50,9999.5,0.84,66.0,9399.53,47
Camping & Hiking,Fan Shop,12/25/2,24,7199.52,0.83,79.17,8799.41,48
Camping & Hiking,Fan Shop,9/9/201,52,15598.96,0.83,67.31,12599.16,48
Fishing,Fan Shop,4/25/20,53,21198.94,0.83,58.49,20665.63,48
Fishing,Fan Shop,5/17/20,52,20798.96,0.83,63.46,20932.29,48
Fishing,Fan Shop,6/29/20,42,16799.16,0.83,71.43,18532.41,48
Indoor/Outdoor Games,Fan Shop,3/25/20,59,8146.74,0.83,62.71,8846.46,48
Indoor/Outdoor Games,Fan Shop,6/11/20,54,8496.6,0.83,61.11,9212.98,48
Water Sports,Fan Shop,1/26/20,53,10599.47,0.83,62.26,9199.54,48
Water Sports,Fan Shop,6/16/20,41,8199.59,0.83,70.73,7466.29,48
Water Sports,Fan Shop,6/17/20,41,8199.59,0.83,68.29,8332.92,48
Water Sports,Fan Shop,6/24/20,46,9199.54,0.83,65.22,9599.52,48
Camping & Hiking,Fan Shop,1/3/201,39,11699.22,0.82,58.97,11199.25,49
Camping & Hiking,Fan Shop,11/4/20,34,10199.32,0.82,73.53,9699.35,49
Camping & Hiking,Fan Shop,2/10/20,44,13199.12,0.82,56.82,11499.23,49
Camping & Hiking,Fan Shop,3/13/20,39,11699.22,0.82,66.67,10699.29,49
Camping & Hiking,Fan Shop,4/4/201,28,8399.44,0.82,53.57,10199.32,49
Camping & Hiking,Fan Shop,8/26/20,28,8399.44,0.82,71.43,10299.31,49
Camping & Hiking,Fan Shop,9/11/20,39,11699.22,0.82,61.54,10999.27,49
Fishing,Fan Shop,3/19/20,60,23998.8,0.82,66.67,21865.57,49
Fishing,Fan Shop,3/8/201,49,19599.02,0.82,63.27,19465.69,49
Fishing,Fan Shop,7/26/20,38,15199.24,0.82,68.42,17999.1,49
Indoor/Outdoor Games,Fan Shop,1/17/20,55,8646.54,0.82,60.0,8296.68,49
Indoor/Outdoor Games,Fan Shop,1/5/201,56,8546.58,0.82,69.64,7646.94,49
Indoor/Outdoor Games,Fan Shop,3/17/20,57,8796.48,0.82,63.16,8429.96,49
Indoor/Outdoor Games,Fan Shop,6/2/201,45,6897.24,0.82,64.44,6797.28,49
Indoor/Outdoor Games,Fan Shop,7/31/20,45,6947.22,0.82,64.44,7880.18,49
Indoor/Outdoor Games,Fan Shop,9/6/201,57,8446.62,0.82,63.16,8296.68,49
Water Sports,Fan Shop,11/17/2,28,5599.72,0.82,64.29,5866.37,49
Water Sports,Fan Shop,3/14/20,50,9999.5,0.82,62.0,9332.87,49
Camping & Hiking,Fan Shop,10/22/2,21,6299.58,0.81,61.9,7499.5,50
Camping & Hiking,Fan Shop,12/23/2,42,12599.16,0.81,66.67,7199.52,50
Camping & Hiking,Fan Shop,6/28/20,26,7799.48,0.81,73.08,10299.31,50
Camping & Hiking,Fan Shop,8/1/201,36,10799.28,0.81,72.22,10699.29,50
Fishing,Fan Shop,1/17/20,43,17199.14,0.81,60.47,20665.63,50
Fishing,Fan Shop,11/21/2,43,17199.14,0.81,76.74,18399.08,50
Fishing,Fan Shop,6/17/20,48,19199.04,0.81,66.67,19732.35,50
Fishing,Fan Shop,7/14/20,64,25598.72,0.81,64.06,19599.02,50
Fishing,Fan Shop,8/26/20,52,20798.96,0.81,59.62,21865.57,50
Indoor/Outdoor Games,Fan Shop,3/19/20,80,11095.56,0.81,65.0,9163.0,50
Water Sports,Fan Shop,10/17/2,27,5399.73,0.81,66.67,5266.4,50
Water Sports,Fan Shop,11/27/2,37,7399.63,0.81,67.57,6733.0,50
Water Sports,Fan Shop,12/18/2,26,5199.74,0.81,61.54,5133.08,50
Water Sports,Fan Shop,9/26/20,59,12699.41,0.81,66.1,10566.16,50
Camping & Hiking,Fan Shop,10/25/2,30,8999.4,0.8,66.67,9599.36,51
Camping & Hiking,Fan Shop,2/28/20,44,13199.12,0.8,61.36,13799.08,51
Camping & Hiking,Fan Shop,7/29/20,50,14999.0,0.8,68.0,12199.19,51
Camping & Hiking,Fan Shop,9/2/201,45,13499.1,0.8,57.78,11999.2,51
Fishing,Fan Shop,5/7/201,51,20398.98,0.8,64.71,19065.71,51
Fishing,Fan Shop,6/12/20,56,22398.88,0.8,58.93,23065.51,51
Fishing,Fan Shop,8/20/20,61,24398.78,0.8,63.93,21732.25,51
Indoor/Outdoor Games,Fan Shop,10/28/2,41,6147.54,0.8,48.78,6047.58,51
Indoor/Outdoor Games,Fan Shop,12/18/2,41,5947.62,0.8,65.85,6347.46,51
Indoor/Outdoor Games,Fan Shop,12/30/2,45,7047.18,0.8,66.67,6014.26,51
Indoor/Outdoor Games,Fan Shop,2/27/20,46,7247.1,0.8,69.57,8613.22,51
Indoor/Outdoor Games,Fan Shop,3/29/20,60,8646.54,0.8,63.33,8230.04,51
Indoor/Outdoor Games,Fan Shop,4/14/20,50,7896.84,0.8,64.0,8963.08,51
Indoor/Outdoor Games,Fan Shop,4/15/20,65,9596.16,0.8,63.08,8829.8,51
Water Sports,Fan Shop,10/13/2,30,5999.7,0.8,66.67,6466.34,51
Water Sports,Fan Shop,6/10/20,44,8799.56,0.8,65.91,9799.51,51
Water Sports,Fan Shop,7/19/20,54,10799.46,0.8,68.52,10466.14,51
Camping & Hiking,Fan Shop,4/2/201,39,11699.22,0.79,56.41,13599.09,52
Camping & Hiking,Fan Shop,8/15/20,38,11399.24,0.79,60.53,11599.23,52
Fishing,Fan Shop,1/30/20,57,22798.86,0.79,59.65,20532.31,52
Fishing,Fan Shop,6/2/201,42,16799.16,0.79,59.52,20132.33,52
Fishing,Fan Shop,9/15/20,47,18799.06,0.79,63.83,18932.39,52
Indoor/Outdoor Games,Fan Shop,11/6/20,29,4548.18,0.79,62.07,5831.0,52
Indoor/Outdoor Games,Fan Shop,7/1/201,58,9196.32,0.79,68.97,7963.48,52
Indoor/Outdoor Games,Fan Shop,7/5/201,71,11345.46,0.79,63.38,8679.86,52
Water Sports,Fan Shop,10/28/2,39,7799.61,0.79,61.54,7399.63,52
Water Sports,Fan Shop,10/7/20,28,5599.72,0.79,75.0,5266.4,52
Water Sports,Fan Shop,11/10/2,14,2799.86,0.79,78.57,4066.46,52
Water Sports,Fan Shop,11/2/20,38,7599.62,0.79,63.16,7532.96,52
Water Sports,Fan Shop,4/1/201,39,7799.61,0.79,61.54,8932.89,52
Water Sports,Fan Shop,4/12/20,39,7799.61,0.79,66.67,8666.23,52
Water Sports,Fan Shop,8/22/20,56,11199.44,0.79,69.64,10666.13,52
Water Sports,Fan Shop,9/19/20,53,10749.47,0.79,66.04,9316.21,52
Camping & Hiking,Fan Shop,3/14/20,46,13799.08,0.78,65.22,11799.21,53
Camping & Hiking,Fan Shop,5/9/201,45,13499.1,0.78,66.67,11399.24,53
Camping & Hiking,Fan Shop,6/23/20,40,11999.2,0.78,62.5,12499.17,53
Camping & Hiking,Fan Shop,7/22/20,37,11099.26,0.78,62.16,13999.07,53
Camping & Hiking,Fan Shop,9/30/20,27,8099.46,0.78,66.67,11699.22,53
Fishing,Fan Shop,10/19/2,27,10799.46,0.78,59.26,13066.01,53
Indoor/Outdoor Games,Fan Shop,11/17/2,59,9196.32,0.78,61.02,6847.26,53
Indoor/Outdoor Games,Fan Shop,7/14/20,58,8796.48,0.78,60.34,8629.88,53
Water Sports,Fan Shop,1/23/20,41,8199.59,0.78,68.29,7999.6,53
Water Sports,Fan Shop,2/20/20,45,8999.55,0.78,60.0,10132.83,53
Water Sports,Fan Shop,7/14/20,37,7399.63,0.78,62.16,9399.53,53
Water Sports,Fan Shop,9/20/20,54,10949.46,0.78,62.96,9699.52,53
Water Sports,Fan Shop,9/6/201,46,9199.54,0.78,60.87,9132.88,53
Camping & Hiking,Fan Shop,10/24/2,31,9299.38,0.77,61.29,8699.42,54
Camping & Hiking,Fan Shop,2/2/201,56,16798.88,0.77,66.07,14599.03,54
Camping & Hiking,Fan Shop,4/10/20,48,14399.04,0.77,66.67,13499.1,54
Fishing,Fan Shop,4/6/201,52,20798.96,0.77,61.54,21865.57,54
Fishing,Fan Shop,6/6/201,56,22398.88,0.77,69.64,19065.71,54
Fishing,Fan Shop,6/8/201,52,20798.96,0.77,65.38,20532.31,54
Indoor/Outdoor Games,Fan Shop,10/26/2,31,4448.22,0.77,58.06,5614.42,54
Indoor/Outdoor Games,Fan Shop,2/26/20,61,9946.02,0.77,62.3,9262.96,54
Indoor/Outdoor Games,Fan Shop,6/18/20,48,7097.16,0.77,60.42,7830.2,54
Indoor/Outdoor Games,Fan Shop,7/24/20,48,6547.38,0.77,58.33,8463.28,54
Indoor/Outdoor Games,Fan Shop,9/25/20,57,8196.72,0.77,66.67,7280.42,54
Water Sports,Fan Shop,1/22/20,35,6999.65,0.77,60.0,8732.9,54
Water Sports,Fan Shop,11/28/2,26,5199.74,0.77,61.54,6866.32,54
Water Sports,Fan Shop,12/25/2,30,5999.7,0.77,66.67,5733.05,54
Water Sports,Fan Shop,4/15/20,52,10399.48,0.77,57.69,9332.87,54
Water Sports,Fan Shop,5/27/20,39,7799.61,0.77,66.67,9732.85,54
Water Sports,Fan Shop,6/2/201,53,10599.47,0.77,56.6,8732.9,54
Water Sports,Fan Shop,6/30/20,30,5999.7,0.77,66.67,8666.23,54
Camping & Hiking,Fan Shop,1/31/20,50,14999.0,0.76,60.0,13399.11,55
Camping & Hiking,Fan Shop,10/5/20,25,7499.5,0.76,64.0,7399.51,55
Camping & Hiking,Fan Shop,11/7/20,34,10199.32,0.76,58.82,9899.34,55
Camping & Hiking,Fan Shop,5/27/20,42,12599.16,0.76,66.67,11199.25,55
Fishing,Fan Shop,11/17/2,46,18399.08,0.76,63.04,13865.97,55
Fishing,Fan Shop,12/25/2,42,16799.16,0.76,73.81,14532.61,55
Fishing,Fan Shop,12/28/2,34,13599.32,0.76,64.71,15999.2,55
Indoor/Outdoor Games,Fan Shop,11/5/20,41,5797.68,0.76,65.85,5647.74,55
Indoor/Outdoor Games,Fan Shop,12/22/2,33,5547.78,0.76,72.73,5897.64,55
Indoor/Outdoor Games,Fan Shop,4/13/20,67,8996.4,0.76,58.21,10195.92,55
Indoor/Outdoor Games,Fan Shop,4/3/201,66,10345.86,0.76,62.12,9113.02,55
Indoor/Outdoor Games,Fan Shop,5/1/201,50,7746.9,0.76,62.0,7530.32,55
Indoor/Outdoor Games,Fan Shop,7/4/201,50,7746.9,0.76,70.0,7763.56,55
Indoor/Outdoor Games,Fan Shop,8/10/20,45,7047.18,0.76,57.78,8146.74,55
Indoor/Outdoor Games,Fan Shop,8/24/20,41,5847.66,0.76,63.41,7080.5,55
Indoor/Outdoor Games,Fan Shop,9/10/20,46,6747.3,0.76,56.52,7896.84,55
Water Sports,Fan Shop,1/14/20,34,6799.66,0.76,58.82,8066.26,55
Water Sports,Fan Shop,1/28/20,45,8999.55,0.76,62.22,9466.19,55
Water Sports,Fan Shop,12/26/2,29,5799.71,0.76,72.41,5866.37,55
Water Sports,Fan Shop,2/29/20,17,3399.83,0.76,52.94,7199.64,55
Water Sports,Fan Shop,4/14/20,41,8199.59,0.76,60.98,8466.24,55
Camping & Hiking,Fan Shop,10/29/2,24,7199.52,0.75,70.83,9299.38,56
Camping & Hiking,Fan Shop,11/18/2,28,8399.44,0.75,64.29,7299.51,56
Camping & Hiking,Fan Shop,2/25/20,40,11999.2,0.75,62.5,11199.25,56
Camping & Hiking,Fan Shop,3/1/201,32,9599.36,0.75,65.63,11399.24,56
Camping & Hiking,Fan Shop,5/21/20,40,11999.2,0.75,65.0,12799.15,56
Camping & Hiking,Fan Shop,5/31/20,40,11999.2,0.75,65.0,13399.11,56
Camping & Hiking,Fan Shop,5/5/201,51,15298.98,0.75,62.75,13699.09,56
Camping & Hiking,Fan Shop,7/5/201,28,8399.44,0.75,60.71,10099.33,56
Fishing,Fan Shop,2/11/20,44,17599.12,0.75,63.64,21332.27,56
Fishing,Fan Shop,6/18/20,48,19199.04,0.75,66.67,20265.65,56
Fishing,Fan Shop,7/13/20,36,14399.28,0.75,63.89,19465.69,56
Fishing,Fan Shop,8/17/20,55,21998.9,0.75,54.55,21065.61,56
Indoor/Outdoor Games,Fan Shop,1/16/20,57,8696.52,0.75,59.65,8446.62,56
Indoor/Outdoor Games,Fan Shop,11/11/2,36,5197.92,0.75,61.11,5764.36,56
Indoor/Outdoor Games,Fan Shop,12/1/20,36,5397.84,0.75,61.11,5581.1,56
Indoor/Outdoor Games,Fan Shop,9/5/201,59,7896.84,0.75,62.71,9029.72,56
Water Sports,Fan Shop,10/15/2,28,5599.72,0.75,75.0,6199.69,56
Water Sports,Fan Shop,11/20/2,24,4799.76,0.75,66.67,6666.33,56
Water Sports,Fan Shop,11/4/20,24,4799.76,0.75,62.5,4999.75,56
Water Sports,Fan Shop,5/5/201,44,8799.56,0.75,70.45,9066.21,56
Water Sports,Fan Shop,6/6/201,48,9599.52,0.75,62.5,8666.23,56
Water Sports,Fan Shop,7/22/20,40,7999.6,0.75,60.0,8199.59,56
Water Sports,Fan Shop,8/2/201,44,8799.56,0.75,70.45,8532.91,56
Camping & Hiking,Fan Shop,1/14/20,39,11699.22,0.74,66.67,12699.15,57
Camping & Hiking,Fan Shop,2/26/20,43,12899.14,0.74,60.47,11699.22,57
Camping & Hiking,Fan Shop,3/2/201,43,12899.14,0.74,69.77,13099.13,57
Camping & Hiking,Fan Shop,6/13/20,50,14999.0,0.74,56.0,13799.08,57
Camping & Hiking,Fan Shop,6/16/20,42,12599.16,0.74,69.05,12299.18,57
Camping & Hiking,Fan Shop,8/10/20,31,9299.38,0.74,64.52,10599.29,57
Camping & Hiking,Fan Shop,8/9/201,34,10199.32,0.74,55.88,11199.25,57
Fishing,Fan Shop,10/28/2,39,15599.22,0.74,58.97,13865.97,57
Fishing,Fan Shop,2/7/201,58,23198.84,0.74,60.34,21598.92,57
Fishing,Fan Shop,5/26/20,47,18799.06,0.74,63.83,19599.02,57
Fishing,Fan Shop,8/1/201,47,18799.06,0.74,68.09,19465.69,57
Fishing,Fan Shop,9/4/201,61,24398.78,0.74,63.93,23598.82,57
Indoor/Outdoor Games,Fan Shop,10/17/2,31,5497.8,0.74,58.06,5914.3,57
Indoor/Outdoor Games,Fan Shop,2/14/20,53,7796.88,0.74,62.26,9212.98,57
Indoor/Outdoor Games,Fan Shop,8/27/20,50,6547.38,0.74,68.0,8646.54,57
Water Sports,Fan Shop,10/27/2,35,6999.65,0.74,62.86,6866.32,57
Water Sports,Fan Shop,11/21/2,43,8599.57,0.74,62.79,6999.65,57
Water Sports,Fan Shop,3/12/20,46,9199.54,0.74,73.91,8599.57,57
Water Sports,Fan Shop,3/15/20,54,10799.46,0.74,68.52,9866.17,57
Water Sports,Fan Shop,4/10/20,39,7799.61,0.74,71.79,8599.57,57
Water Sports,Fan Shop,5/1/201,46,9199.54,0.74,58.7,9666.18,57
Water Sports,Fan Shop,5/20/20,50,9999.5,0.74,60.0,8999.55,57
Water Sports,Fan Shop,5/28/20,35,6999.65,0.74,68.57,7932.94,57
Water Sports,Fan Shop,9/11/20,47,9699.53,0.74,59.57,10166.16,57
Camping & Hiking,Fan Shop,3/8/201,45,13499.1,0.73,64.44,12299.18,58
Fishing,Fan Shop,1/4/201,55,21998.9,0.73,63.64,20665.63,58
Fishing,Fan Shop,3/25/20,48,19199.04,0.73,56.25,17865.77,58
Fishing,Fan Shop,5/24/20,52,20798.96,0.73,73.08,20265.65,58
Fishing,Fan Shop,5/8/201,52,20798.96,0.73,59.62,19465.69,58
Fishing,Fan Shop,7/18/20,51,20398.98,0.73,58.82,20132.33,58
Fishing,Fan Shop,7/3/201,55,21998.9,0.73,60.0,22665.53,58
Fishing,Fan Shop,9/8/201,45,17999.1,0.73,68.89,19332.37,58
Indoor/Outdoor Games,Fan Shop,10/8/20,49,6397.44,0.73,65.31,5714.38,58
Indoor/Outdoor Games,Fan Shop,7/21/20,62,9546.18,0.73,54.84,9662.8,58
Toys,Fan Shop,1/17/20,37,426.98,0.73,56.76,669.32,58
Water Sports,Fan Shop,2/23/20,44,8799.56,0.73,65.91,9332.87,58
Water Sports,Fan Shop,2/6/201,48,9599.52,0.73,58.33,8932.89,58
Water Sports,Fan Shop,5/8/201,51,10199.49,0.73,60.78,10466.14,58
Water Sports,Fan Shop,6/19/20,41,8199.59,0.73,63.41,7932.94,58
